"United Finance Company OFFERS DATA - GENERATED [06/26/2019] from UFC_adv.html",,,,,,,
,,,,,,,
"DAT","SRC","TYP","NUM","NAM","DSC","AMT","BRK_ADR_TEL"
8/9/22,"SS-A","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
8/9/22,"SS-B","SELL",2,"United Finance",2/2/04,40,"HMHC_117-Cherry-St_Elliott-4256"
8/9/22,"SS-C","SELL",1,"United Finance","&ne;",55,"JWC_709-2nd-Ave._Main-1513"
8/10/22,"SS","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
8/11/22,"SS-A","SELL",2,"United Finance",2/2/04,40,"HMHC_117-Cherry-St_Elliott-4256"
8/11/22,"SS-B","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
8/12/22,"SS","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
8/19/22,"SS","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/1/22,"SS","BUY",2,"United Finance","&ne;","&sub;","JWC_709-2nd-Ave._Main-1513"
9/7/22,"SS","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/8/22,"SS-A","BUY",2,"United Finance","&ne;","&sub;","JWC_709-2nd-Ave._Main-1513"
9/8/22,"SS-B","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/9/22,"SS","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/13/22,"SS","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/15/22,"SS","SELL",4,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/28/22,"SS","SELL",17,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
9/30/22,"SS","SELL",17,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
10/7/22,"SS","SELL",17,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
10/10/22,"SS","SELL",17,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
10/14/22,"SS","SELL",17,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
10/17/22,"SS-A","SELL",15,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
10/17/22,"SS-B","SELL",2,"United Finance","&ne;","Bid","CJS_118-Cherry-St_MAIN_5899"
10/17/22,"SS-C","SELL",1.5,"United Finance","&ne;","Bid","CJS_118-Cherry-St_MAIN_5899"
10/17/22,"SS-C","SELL",4,"United Finance","&ne;","Bid","CJS_118-Cherry-St_MAIN_5899"
10/19/22,"SS","SELL",15,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
11/1/22,"SS","SELL",7,"United Finance","&ne;",35,"MW_214-Union-St._Elliott-0850"
11/2/22,"SS","SELL",7,"United Finance","&ne;",35,"MW_214-Union-St._Elliott-0850"
11/3/22,"SS","SELL",7,"United Finance","&ne;",35,"MW_214-Union-St._Elliott-0850"
11/17/22,"SS","SELL",1,"United Finance","&ne;","&sub;","MW_214-Union-St._Elliott-0850"
12/19/22,"SS","SELL",1,"United Finance","&ne;",25,"PSC_600-601-Securities-Bldg._Elliott-3118-3926"
12/22/22,"SS","SELL",1,"United Finance","&ne;",25,"PSC_600-601-Securities-Bldg._Elliott-3118-3926"
